name,amenity,leisure,tourism,longitude,latitude
Filharmonia im. Mieczysława Karłowicza,theatre,,,14.558106432732881,53.42938620655452
Netto Arena,,sports_centre,,14.493946948051205,53.458212724379955
Ładoga,restaurant,,attraction,14.565572758553557,53.42449944781273
Mierzynianka,,sports_centre,,14.46171379436332,53.43338404953613
,,sports_centre,,14.519892600000002,53.4244971
,,track,,14.638683087514506,53.38248411330907
,,track,,14.506320149999999,53.4296313
,,pitch,,14.471459398006992,53.37796336508095
Arkonia,,sports_centre,,14.51123998790354,53.46053555023605
PRIME Fitness Club,,sports_centre,,14.476696671553302,53.455571412851896
Ośrodek Rekreacyjno-Sportowy - Sołectwo Pilchowo,,sports_centre,,14.477854960879274,53.49917526865139
,,track,,14.547743604361694,53.42176375206238
,,track,,14.564488427002054,53.43155442525587
Studium wychowania fizycznego PUM,,sports_centre,,14.529285958121717,53.412803138605945
,,,,14.540279949525264,53.45352634073489
Brama Królewska,,,attraction,14.556692637919452,53.428398852162395
Football Arena,,sports_centre,,14.499425150358691,53.459510168434626
,,sports_centre,,14.498903834738092,53.459834218778745
Kia Polmotor Arena,,sports_centre,,14.52862458077407,53.44371226038573
,,sports_centre,,14.651080397946988,53.368839892935256
Dom Kultury „Krzemień”,arts_centre,,,14.599616421391692,53.36609148510801
Bukovasport,,sports_centre,,14.591550940963375,53.35645559734399
,,sports_centre,,14.518255810905199,53.43606398916321
Big Wall,,sports_centre,theme_park,14.553475212687305,53.44204819135756
Centrum tenisowe Warszewo,,sports_centre,,14.541521152247178,53.46687218586192
"Gminny Ośrodek Kultury, Sportu i Rekreacji w Przecławiu",community_centre,,,14.477671124926998,53.37739198155143
,,track,,14.599479856075018,53.36965534299769
Amfiteatr Żydowce,theatre,,,14.580499968448018,53.35289402590946
,,,,14.586943771632766,53.36325364117496
,,track,,14.50465014062699,53.4523990890212
,,track,,14.513878493261506,53.474392211790246
,,track,,14.58062398017915,53.354037372720455
Pływalnia Szkoły Podstawowej nr 51,,sports_centre,,14.50829923765497,53.42912372301385
,,sports_centre,,14.591200691711448,53.356686044371116
,,track,,14.522004147028763,53.40603845902969
Stadion Miejski im. Floriana Krygiera,,stadium,,14.518524989690627,53.436465056786474
Zespół Obiektów Sportowych Tor Kolarski imienia Zbysława Zająca,,stadium,,14.497504966794121,53.45929978127895
GKS Mierzyn,,stadium,,14.45372317983198,53.42473458336654
,,track,,14.513953886211123,53.471411891875846
Miejski Stadion Lekkoatletyczny im. Wiesława Maniaka,,stadium,,14.505785916538827,53.45306296286643
Hala Sportowa ZUT,,sports_centre,,14.523400019570984,53.42461858435548
,,sports_centre,,14.52194928822612,53.43328061676776
Sala Gimnastyczna Liceum Ogólnokszałcącego nr 6,,sports_centre,,14.528292251305254,53.43394409005742
Pałac Młodzieży – Pomorskie Centrum Edukacji,community_centre,,,14.538131535405022,53.43122062450228
Brama Portowa,,,attraction,14.550417218488004,53.42497156842855
TRAFO Trafostacja Sztuki,arts_centre,,,14.556777012635218,53.42263616039469
Baszta Panieńska,,,attraction,14.562890648935234,53.426314464692275
Pływalnia Politechniki Morskiej,,sports_centre,,14.564269990917019,53.43261441170029
Teatr Polski,theatre,,,14.570619110316088,53.43348929905317
Zamek Książąt Pomorskich,,,attraction,14.56026685156246,53.4262003984154
"Teatr Lalek ""Pleciuga""",theatre,,,14.54816735088902,53.43716602524109
Teatr Letni imienia Heleny Majdaniec,theatre,,,14.530744802469536,53.4454901897069
Klub Sportowy Stal Szczecin,,stadium,,14.558439077614361,53.45944719712915
Fabryka Energii,,sports_centre,,14.48073628774717,53.43917819282162
Centrum Kultury Euroregionu Stara Rzeźnia,arts_centre,,,14.57364107715115,53.42710279446774
,,stadium,,14.471422588594052,53.37796405521012
,,ice_rink,,14.523092102587585,53.484732027358056
,,track,,14.556344163788642,53.43697076269454
,,track,,14.495245928808963,53.45241563480577
,,track,,14.51978201219085,53.423906361160874
,,track,,14.541215435700995,53.419713579567485
,,track,,14.522013684206534,53.40603878986451
,,track,,14.501197201397716,53.4112564900578
,,track,,14.54053425201455,53.46695853323549
,,track,,14.488656131108149,53.42138347583968
Teatr Polski - Scena na Łasztowni,theatre,,,14.563841559015518,53.42077569954549
Tor gokartowy,,sports_centre,,14.505784153244946,53.45779171805219
zegar słoneczno-świetlny,clock,,attraction,14.55623133621231,53.42818589033346
,,track,,14.527756379621618,53.400064226998474
,,stadium,,14.519743302234964,53.4255259837177
Filharmonia im. Mieczysława Karłowicza,theatre,,,14.558130439082737,53.42937829809681
Netto Arena,,sports_centre,,14.493919034251388,53.45823470131377
Ładoga,restaurant,,attraction,14.565566489532179,53.424494573466404
Mierzynianka,,sports_centre,,14.461734248123076,53.433398715533656
,,sports_centre,,14.5198926,53.424497099999996
,,track,,14.638686129170846,53.38248141495141
,,track,,14.50632015,53.4296313
,,pitch,,14.471458985926633,53.3779633654872
,,track,,14.471432388934705,53.377974812545084
Arkonia,,sports_centre,,14.511225505837377,53.46045617286049
PRIME Fitness Club,,sports_centre,,14.47669365639683,53.4555762341407
,,track,,14.580182510011955,53.46225744160891
,,track,,14.56556705,53.44026105000001
Ośrodek Rekreacyjno-Sportowy - Sołectwo Pilchowo,,sports_centre,,14.477856010693182,53.49917478138193
,,track,,14.56050239933653,53.44043287398131
,,track,,14.547744691673593,53.42176642619502
,,track,,14.564489101506144,53.43155410021914
,,track,,14.557141296753969,53.436924639547925
Studium wychowania fizycznego PUM,,sports_centre,,14.529281380668465,53.41281971578366
,,track,,14.540185143350614,53.453525956951765
,,,,14.540279506277406,53.45352623999369
Brama Królewska,,,attraction,14.556694147392022,53.428401383780226
Football Arena,,sports_centre,,14.499425150564528,53.45951016666551
,,sports_centre,,14.498904005806262,53.4598340344487
Kia Polmotor Arena,,sports_centre,,14.528624633781018,53.44371228185434
,,track,,14.536821730269082,53.42947921235929
,,track,,14.536728249999998,53.42936984999999
,,sports_centre,,14.651019704643623,53.36883807771276
Dom Kultury „Krzemień”,arts_centre,,,14.59958195845203,53.36609889928287
Bukovasport,,sports_centre,,14.591576902306578,53.356457838877795
,,sports_centre,,14.518433975137707,53.436034130069395
,,track,,14.502481144592535,53.419365484337526
Big Wall,,sports_centre,theme_park,14.553453344301316,53.442043064363375
Centrum tenisowe Warszewo,,sports_centre,,14.541522363354314,53.46686753060064
"Gminny Ośrodek Kultury, Sportu i Rekreacji w Przecławiu",community_centre,,,14.477566265613977,53.37743272183409
,,track,,14.59947413261966,53.36965748336871
,,track,,14.596153500000002,53.3642743
Amfiteatr Żydowce,theatre,,,14.580467017023926,53.35289651640025
,,track,,14.539796449999999,53.428602500000004
,,track,,14.557085467923612,53.44511354270031
,,,,14.586944462472351,53.363254649277
,,track,,14.586938846492178,53.36325039735302
,,track,,14.590877551335028,53.36142257878012
,,track,,14.51320880848338,53.44462286521786
,,track,,14.50465182650821,53.45239791315026
,,track,,14.50552675,53.4529513
,,track,,14.505901218930006,53.45309783044394
,,track,,14.513878144564066,53.47439222020368
,,track,,14.580627867641757,53.35403778187773
,,track,,14.488658550000002,53.42143945
,,track,,14.5787637306765,53.46134581088318
,,track,,14.591259772841397,53.356323774669534
,,track,,14.54972307020749,53.43685315249613
,,sports_centre,,14.555049309804609,53.45976188225929
,,track,,14.558523203347498,53.42582638489744
Pływalnia Szkoły Podstawowej nr 51,,sports_centre,,14.508310916453672,53.429112644797755
,,sports_centre,,14.591200788752065,53.35668604598905
,,track,,14.616969830271747,53.378337542269
,,track,,14.522001839726336,53.406037603523856
Stadion Miejski im. Floriana Krygiera,,stadium,,14.518527222122485,53.436464766825964
