name,amenity,leisure,tourism,longitude,latitude
Scena Letnia Teatru Miejskiego w Gdyni imienia Witolda Gombrowicza,theatre,bleachers,,18.562363700000002,54.4756912
Narodowy Stadion Rugby,,stadium,,18.531172292654492,54.49755265885333
"Centrum Sąsiedzkie ""Przystań Śmidowicza 49""",community_centre,,,18.536319063439958,54.54290739739738
,,sports_centre,,18.511324749999996,54.49052685
,,sports_centre,,18.54674887088925,54.50697732158351
Pomnik Tajnego Hufca Harcerzy,,,attraction,18.542061516982812,54.51610073334152
Zespół Sportowy Marynarki Wojennej,,sports_centre,,18.542757974942,54.54079543530761
,,track,,18.47524565,54.53948915
Lodowisko - Rolkowisko Suchy Dwór,,ice_rink,,18.47320893825442,54.57353348692082
,,sports_centre,,18.501594628985362,54.531235960869225
Bursztynowe kule,,,attraction,18.501689737391366,54.457230088175905
,,track,,18.546478112178125,54.507362599592305
Schron dalmierza,,,attraction,18.529893033738865,54.59058544883738
Ruiny schronu dalmierza,,,attraction,18.550577756609183,54.46871124158001
Ruiny strażnicy granicznej,,,attraction,18.519681900365374,54.46399814931886
,,track,,18.480677477927003,54.56675555842283
Świetlica Sołecka w Suchym Dworze,community_centre,,,18.470816915595776,54.5760755804164
Teatr leśny,theatre,,,18.417763497690448,54.519471958637176
Stadion Miejski w Gdyni,,stadium,,18.53111888889544,54.4931537028226
Centrum Strzeleckie Tarcza Gdynia,,sports_centre,,18.486189611684857,54.460425342545385
Strzelnica Playground,,sports_centre,,18.536155184971665,54.46625322023145
,,track,,18.460075040837125,54.47049733671716
,,track,,18.459743585240282,54.470290064532065
,,track,,18.41787037739027,54.5631743611973
,,track,,18.417882147739533,54.563149949600984
,,track,,18.417872861291677,54.56316920960857
,,track,,18.49071391143366,54.582051184297285
Klub Tenisowy Arka Gdynia,,sports_centre,,18.55366474238127,54.504121468707666
Centrum Sportowe u Jezuitów,,sports_centre,,18.52517937848477,54.51564113661738
Centrum Sportu Uniwersytetu Morskiego,,sports_centre,,18.509189057019526,54.525541147787116
Altana burmistrza Johannesa Kollatha,shelter,,attraction,18.560649471853697,54.46365596973766
,,track,,18.491554975975987,54.57947529301232
,,sports_centre,,18.563722933031308,54.4497012157825
,,sports_centre,,18.561267897602352,54.45019277392911
,,sports_centre,,18.561681140782653,54.44928220556323
,,sports_centre,,18.561550936682803,54.45268734030741
Przystań Widna 2A,community_centre,,,18.509188673566953,54.49848971415388
Dwór Kolibki,,,attraction,18.556476227519447,54.47353918500326
,,track,,18.504514769454445,54.55754524425456
Batyskaf Nautilus,,,attraction,18.558445893552815,54.51830580181052
,,track,,18.428511957594072,54.489537235858606
,,track,,18.428812372241232,54.489263609263666
Hala sportowa Zespołu Szkół Hotelarsko-Gastronomicznych,,sports_centre,,18.51679820788351,54.52435871849487
,,track,,18.466247893131946,54.541681307809064
,,track,,18.536936799164454,54.57891289335719
,,track,,18.53688726191024,54.57891551183802
,,track,,18.536964042214922,54.57891145332169
,,track,,18.53701097368485,54.578670429038404
Baza Sport Suchy Dwór,,sports_centre,,18.473122431161983,54.57441161098531
,,track,,18.50139930368113,54.5534982596573
ORP Sokół,,,attraction,18.548565423075598,54.51549548579872
