name,amenity,leisure,tourism,latitude,longitude
Kościół pw. Świętego Wacława,place_of_worship,,attraction,51.40089173308639,21.13585091981247
Orkiestra Wojskowa w Radomiu,arts_centre,,,51.39725845990495,21.203387002836692
,,sports_hall,,51.40721260171565,21.181766807293528
Aquapark Neptun,,water_park,,51.37618044043914,21.17200289231631
Piąta Klepka,nightclub,,,51.401885700881536,21.152761497489276
Muzeum Wsi Radomskiej,,,museum,51.364664717366026,21.08087533723887
Stadion im. Braci Czachorów RKS Radomiak,,stadium,,51.40995221607841,21.17248175555255
Rogatka Lubelska,,,attraction,51.400344621924496,21.158678942552925
,,stadium,,51.41170903292084,21.14922144882287
,,track,,,
,,track,,,
,,track,,,
,,track,,,
Bulwary nad Mleczną,,track,,51.40067908431123,21.126384271351984
Zabytkowa Altana,shelter,,attraction,51.397944695413926,21.157735812692383
Klub Osiedlowy Ustronie,community_centre,,,51.38163854915705,21.15631322520582
Budynek Dyrekcji Zakładu,,,attraction,51.39348437710158,21.166656003385036
,,track,,51.4200617,21.172653150000002
,,track,,,
,,track,,51.39502694286361,21.152170384075298
,,track,,51.400105764844064,21.149957446414145
Dom Pomocy Społecznej Nad Potokiem im. Bohdany „Danuty” Kijewskiej,community_centre,,,51.4094163431481,21.18062929956029
,,stadium,,51.39060581032779,21.111511148935133
Siłownia na powietrzu,,sports_centre,,51.41487612696309,21.171837914709666
,,track,,51.39011585826787,21.12216334436361
Radomskie Centrum Sportu - Hala Widowiskowo-Sportowa,,sports_centre,,51.40903756575801,21.171425357764825
,theatre,stadium,,51.40886847935723,21.156325853597952
,,track,,51.40928395,21.155840500000014
Amfiteatr,theatre,,,51.36160801790017,21.07960585001987
,,,viewpoint,51.36719376642037,21.078720055877806
Automobilklub radomski,,sports_centre,,51.41714500260767,21.150257572244854
Miejski Ośrodek Kultury Amfiteatr - Kuźnia Artystyczna,community_centre,,,51.420570170130766,21.166389938736387
Ośrodek Interwencji Kryzowej,community_centre,,,51.40663213501106,21.153304552352292
,,stadium,,51.41151738891034,21.149249564254326
,,track,,51.40111568445116,21.14801082120912
,,track,,,
,,track,,,
,,track,,,
,,track,,,
,,track,,,
,,track,,,
Hala Sportowa Start,,sports_centre,,51.409369519783304,21.138555279603825
Skatepark,,sports_centre,,51.41187593129784,21.151487643639587
Tężnia solankowa,,,attraction,51.41131784033205,21.152351625207025
,,stadium,,51.40036318871217,21.13825846547034
,,track,,51.37639205,21.172498749999995
Młodzieżowy Dom Kultury im. Heleny Stadnickiej,community_centre,,,51.3984579919368,21.16136631891341
,,stadium,,51.41977009051816,21.172755014140602
Sztuczne Ruiny,,,attraction,51.39807083105021,21.159856246956068
,theatre,,,51.432421079771395,21.15755068559973
,,stadium,,51.396030124653706,21.14904725846375
,,sports_centre,,51.39415596588159,21.148318809451077
Siłownia Miejska,,fitness_centre,,51.41100959444429,21.160182901810856
,,track,,51.39613746113241,21.15927683128188
,,track,,51.39583607855459,21.159158142804145
Dom Pomocy Społecznej,community_centre,,,51.425575046443065,21.191898990556354
Gospoda Jaskółeczka - Firma Społeczna,community_centre,,,51.42878239928714,21.157998792976013
AG Tenis Chorzowska,,sports_centre,,51.40393046447785,21.194498184093298
AG Tenis Chorzowska,,sports_centre,,51.403405041916294,21.19426334570511
,,stadium,,51.39062055066615,21.111624150135665
Radomskie Centrum Sportu - Korty Tenisowe MOSiR Radom,,sports_centre,,51.39068875386707,21.11221409441776
Remiza zakładowej straży pożarnej,,,attraction,51.393872074575896,21.16620258369891
"Centrum Młodzieży ""Arka""",community_centre,,,51.40232415657718,21.136798112504597
Dom Kultury Borki,community_centre,,,51.38625456265347,21.123617966337758
,,track,,51.38457761243361,21.17996621572392
,,stadium,,51.44408967380108,21.150236315763472
Wojskowy Ośrodek Szkolenia Sportowego „Delta”,,sports_centre,,51.39582911556667,21.199365954354754
,,track,,,
,,track,,,
Tor 4x4 Radom - Koniówka,,sports_centre,,51.42258240431627,21.13734340948748
Centrum Sportowo-Szkoleniowe Radomiaka,,sports_centre,,51.420126638705476,21.139072397540456
