name,amenity,leisure,tourism,latitude,longitude
Łysek z pokładu Idy,,,artwork,50.2665969,18.9921822
Squash Arena,,sports_centre,,50.2427446,19.0096831
,,amusement_arcade,,50.2627787,19.0056813
Karolinka,,,artwork,50.2351008,19.0261138
Rzeźba I,,,artwork,50.2333382,19.025778
Płaskorzeźba I,,,artwork,50.2331615,19.0263091
Szum wiatru,,,artwork,50.233074,19.0251933
Krokodyle,,,artwork,50.2335664,19.025314
Płaskorzeźba III,,,artwork,50.2331668,19.0272761
Spotkanie na trawie,,,artwork,50.2331772,19.0271395
Płaskorzeźba II,,,artwork,50.2331705,19.0270087
,,,artwork,50.2332661,19.0276923
Posąg kobiety,,,artwork,50.2337526,19.0246159
Metaloplastyka,,,artwork,50.2336081,19.0253282
Postać kobiety,,,artwork,50.2318805,19.0255611
,,,artwork,50.2329554,19.0350429
Żubr,,,artwork,50.2347989,19.0431837
,,,artwork,50.2379406,19.0456095
Siłownia MOSiR Katowice,,fitness_centre,,50.1800419,18.9761824
Capitol,nightclub,,,50.257202,19.028296
,,,artwork,50.244091,19.0059311
,,,artwork,50.2440511,19.0059364
,,,artwork,50.2440754,19.0058657
Jan Furtok,,,artwork,50.2569701,19.0359165
Airship,,,artwork,50.2578712,19.0374691
Krystyna Bochenek,,,artwork,50.2559483,19.0272536
"Łącząc umysły, tworzymy przyszłość",,,artwork,50.2688507,19.0292304
Szlak Śląskiego Bluesa,,,artwork,50.2689369,19.0288542
Stanisław Lem,,,artwork,50.2599101,19.093047
Harcerze Obrońcy Katowic,,,artwork,50.2258585,18.9717654
Górnicy wojownicy,,,artwork,50.260187,19.0237882
Części człowieka,,,artwork,50.2572278,19.0246468
Murem za Niepodległą,,,artwork,50.2644281,19.0406069
,,,artwork,50.2318317,18.9857555
Czarne złoto,,,artwork,50.2601687,19.0166261
,,,artwork,50.2644368,18.9977816
e-sport,,,artwork,50.2590647,19.0470152
,,,artwork,50.25283,19.0149799
,,,artwork,50.2659429,19.0872453
,,,artwork,50.2494448,19.0847221
,,,artwork,50.2500774,19.0840936
,,,artwork,50.2646845,19.0911669
,,,artwork,50.2715311,19.0244097
O Śląsku,,,artwork,50.2424774,19.0883864
Erwin Sówka,,,artwork,50.2437159,19.0854054
Halinka,,,artwork,50.2628467,19.0956966
LIMBO Bouldering,,sports_centre,,50.2301214,18.9718491
,,,artwork,50.2795095,19.018505
Przykurzone Skarby,,,artwork,50.2563962,19.0409356
Transformersy,,,artwork,50.2609155,19.0078015
,,,artwork,50.259708,19.0524597
NIC,,,artwork,50.276734,19.0649589
Piotr „Magik” Łuszcz,,,artwork,50.2619736,19.0426751
Pocztówka z wakacji,,,artwork,50.2642825,19.0942823
Kpt. Oszek,,,artwork,50.2649907,19.087487
Wróć do rozmowy,,,artwork,50.2613496,19.0275675
,,,artwork,50.254725,19.0284912
,,,artwork,50.2566222,19.0309834
,,,artwork,50.2637946,19.0870946
#DZIEWCZYNA Z KARABINEM,,,artwork,50.2638932,19.0027552
,,,artwork,50.2564114,19.0311437
Zmierzch Ery Prostokątnych Jaskiń,,,artwork,50.2288867,18.9945401
Probówki,,,artwork,50.2615248,19.0118539
Szum,,,artwork,50.2576081,19.0295309
Pułk Strzelców Bytomskich,,,artwork,50.2729637,19.0291859
,,,artwork,50.2424048,19.0041703
,,,artwork,50.2425732,19.0039636
,,,artwork,50.2564104,19.0309302
Balety,,dance,,50.270773,19.0241526
Calypso,,fitness_centre,,50.2659418,19.0484235
Erwin Sówka,,,artwork,50.2592447,19.0623736
Szyb Wschodni II KWK „Kleofas”,,,attraction,50.2597023,18.9858162
Galeria Sztuki Współczesnej BWA,,,gallery,50.2620781,19.0220287
CrossGym,,fitness_centre,,50.2546728,19.0613949
Mozaika z orłem,,,artwork,50.2616603,19.0273099
X stacja drogi krzyżowej,,,artwork,50.2697324,19.0391684
Jest Ligota jest anegdota,,,artwork,50.2311802,18.9822143
Joga Ju-Jitsu,,fitness_centre,,50.2331108,18.9865694
Podróże z Herodotem,,,artwork,50.2526914,19.0309008
YouCanDoIt,,dance,,50.2620817,19.0240355
Młodzieżowy Dom Kultury,community_centre,,,50.2699016,18.974673
,,,artwork,50.2048942,19.042364
,,,artwork,50.2049294,19.042354
,,,artwork,50.2048523,19.0423777
Bebok Ferdynand,,,artwork,50.2636149,19.038416
Nadszybie Szybu Fortuna III KWK Kleofas,,,attraction,50.2687564,18.9680756
Maszynownia Szybu Fortuna I KWK Kleofas,,,attraction,50.2682317,18.9696837
Rozdzielnia KWK Kleofas,,,attraction,50.2680472,18.9692074
Kamień Pamiątkowy Wzgórze Wandy,,,attraction,50.1906851,19.0458184
,,,artwork,50.271151,19.0216395
Gym for you,,fitness_centre,,50.2835896,19.0288518
Murcki,,,artwork,50.1960471,19.0457374
Jan Paweł II,,,artwork,50.2300746,19.0599851
Lokomotywa,,,artwork,50.2262806,18.9760051
Zielona Głowa,,,artwork,50.2827007,19.0167593
,,,artwork,50.2755107,19.0192439
Szara góra,,,artwork,50.2320947,18.9764339
Muzeum Historii Komputerów i Informatyki,,,museum,50.2565245,19.0156814
,,,artwork,50.2755549,19.0188991
Swing City,,dance,,50.2627224,19.0202366
Nova Beng!,,dance,,50.2627055,19.0203548
Fantasy Club,nightclub,,,50.2575811,19.0258339
Valhalla,,sports_centre,,50.2683848,19.0279924
Ziemia,,,artwork,50.265689,18.9755193
Woda,,,artwork,50.2654609,18.9753717
Powietrze,,,artwork,50.2652281,18.9752358
Tomek Dura,,,artwork,50.2658719,18.9748425
,,,artwork,50.2669667,18.987892
Trzy słupy kamienne,,,artwork,50.1942033,19.0514921
Miasta partnerskie Katowic,,,artwork,50.269023,19.0284738
,,,artwork,50.2691088,19.0280952
DoSopotu,nightclub,,,50.2572897,19.0267444
Bavitto,nightclub,,,50.2541487,19.0181733
Anioł Stróż,,,artwork,50.2688841,19.0401931
Tu społem,,,artwork,50.2692044,19.034599
Miejski Dom Kultury „Bogucice - Zawodzie”,community_centre,,,50.2643932,19.0413469
Panteon Górnośląski,,,museum,50.2519073,19.0190173
,,,viewpoint,50.2519693,19.0190211
Mozaika o kompozycji,,,artwork,50.2601877,19.0251737
,,,artwork,50.2781601,19.0155553
Grajek,,,artwork,50.2310178,19.0243148
Dziecko,,,artwork,50.2324312,19.0246933
Wiolonczelistka,,,artwork,50.2336481,19.0287828
Rzeźba II,,,artwork,50.2328921,19.0344471
Sarenka II,,,artwork,50.2371985,19.0452619
Baranek,,,artwork,50.2372299,19.0452834
Ptak,,,artwork,50.2374816,19.0451896
Kobieta z dzieckiem,,,artwork,50.2317658,19.0243504
Konik morski,,,artwork,50.2326038,19.0246918
Bebok Francik,,,artwork,50.2306197,18.9641174
Makieta Nikiszowca,,,artwork,50.2436207,19.0822822
Salon gier na automatach Lotto,,adult_gaming_centre,,50.2583583,19.0168045
Klub Tańca Awangarda,,dance,,50.2657385,19.019982
Scena54 by Feiim,nightclub,,,50.2604449,19.020731
Skamieliny,,,artwork,50.2665712,18.9919333
Bebok Jurek,,,artwork,50.2685601,19.0413749
Bebok Statusia,,,artwork,50.2769827,19.0240023
Bebok Akademikus,,,artwork,50.212132,18.9771775
Kuklok,,,artwork,50.2793835,19.0683279
bebok Konopiusz,,,artwork,50.251907,19.0106809
bebok Antenek,,,artwork,50.2531495,19.0212712
Ludolfina,,,artwork,50.2596331,19.0152717
bebok Szwajka,,,artwork,50.2560431,19.0276275
bebok Majster,,,artwork,50.2556146,19.031076
bebok Hercklekotek,,,artwork,50.2590095,19.0256052
Bebok Taryfiorz,,,artwork,50.213246,18.9776537
Beboczka Dorka,,,artwork,50.2432893,19.0836861
Bebok Profesor Quatronus,,,artwork,50.1852114,18.9959378
Beboczka Rechtula,,,artwork,50.2400812,19.0973581
Studio Synergy,,fitness_centre,,50.2563402,19.0219869
Bebok Doradziejka,,,artwork,50.2683569,19.0219414
,,,artwork,50.2532898,19.0212361
Bebok Tauzenik,,,artwork,50.2802503,18.977881
Lotto,,adult_gaming_centre,,50.2614343,19.0166299
Frelka i Miglanc,,,artwork,50.2594098,19.0180951
"Wincynt, bebok hajer",,,artwork,50.2436203,19.0822796
"Ernest, bebok hokejorz",,,artwork,50.2450396,19.082431
,,,artwork,50.250055,19.0029079
Beboki Staś i Hela,,,artwork,50.2695149,19.029218
Bebok Karlik,,,artwork,50.2598127,18.9724065
,,,artwork,50.2642791,19.0266963
Bebok Dentruś,,,artwork,50.2772782,19.0086493
Bebok Szperhok,,,artwork,50.2679303,19.0216178
Bebok Gajerek,,,artwork,50.268424,19.0194025
Beboki Klachula i Kneflik,,,artwork,50.2670488,19.009229
Bebok Witosiak,,,artwork,50.2593789,18.9689488
Bebok Hasik,,,artwork,50.2598774,19.0284669
Bebok Wituś,,,artwork,50.2664093,18.9654653
Bebok Bazyl,,,artwork,50.2688605,19.0325039
Bebok Dochtorka Cila,,,artwork,50.229325,18.9970844
FunHouse Katowice - Interaktywne Muzeum Flipperów i Gier Arcade,,,museum,50.2611391,19.0441855
Bebok Anzug,,,artwork,50.2643346,19.0150596
"Michalino, bebok",,,artwork,50.2434013,19.0811547
,,,artwork,50.2599154,19.0167361
,,,artwork,50.2599452,19.0167404
,,,artwork,50.2626172,19.0144389
,,,artwork,50.2609857,19.0161915
,,,artwork,50.2580689,19.0185482
Bebok Anton,,,artwork,50.2621052,19.0990797
Bebok Aptykorz,,,artwork,50.2417046,19.0899232
Bebok Ecik,,,artwork,50.261369,19.0096931
Bebok Artur,,,artwork,50.1994945,18.9799136
Beboczka Prof. Cegiełka,,,artwork,50.2443101,19.015521
Bebok Prof. Ligotek,,,artwork,50.2241356,18.9545368
Bebok Sajdoczek,,,artwork,50.2046171,18.9865931
Beboczka Lusia,,,artwork,50.2050703,18.9870974
Bebok Fazan,,,artwork,50.1997347,18.9787024
,,,artwork,50.2662387,18.9948297
Bebok Jorguś,,,artwork,50.2415135,19.0814861
Beboczka Gretka,,,artwork,50.2421757,19.0810355
Beboki Sztefa i Erwinek,,,artwork,50.244123,19.082067
Bebok Floorek,,,artwork,50.2617062,19.0251281
Bebok Zefel,,,artwork,50.2625104,19.0148984
Bebok Szpilok,,,artwork,50.2634398,19.012074
Bebok Uncjusz,,,artwork,50.259341,19.0196453
