name,amenity,leisure,tourism,latitude,longitude
Pomnik Tajnego Hufca Harcerzy,,,attraction,54.51610073334151,18.542061516982812
Zespół Sportowy Marynarki Wojennej,,sports_centre,,54.54079543530761,18.542757974942
,,track,,54.539489149999994,18.475245649999998
,,sports_centre,,54.53123596086922,18.501594628985366
Muzeum Miasta Gdyni,,,museum,54.515942547814014,18.547308783359593
Park Linowy Góra Harców,,,theme_park,54.506444424222494,18.554307610836688
Muzeum Marynarki Wojennej,,,museum,54.51544878584154,18.54800412741267
Bursztynowe kule,,,attraction,54.457230088175876,18.501689737391352
,,track,,,
Ruiny schronu dalmierza,,,attraction,54.468711241579996,18.550577756609176
Ruiny strażnicy granicznej,,,attraction,54.46399814931886,18.519681900365374
Teatr leśny,theatre,,,54.519471958637176,18.417763497690444
Stadion Miejski w Gdyni,,stadium,,54.49315370282259,18.53111888889543
Centrum Strzeleckie Tarcza Gdynia,,sports_centre,,54.460425342545385,18.486189611684857
Strzelnica Playground,,sports_centre,,54.46625322023145,18.536155184971665
,,track,,54.47049733671716,18.460075040837125
,,track,,54.470290064532065,18.459743585240282
Orange Góra Donas,,,viewpoint,54.46936850000001,18.437109149999998
Klub Tenisowy Arka Gdynia,,sports_centre,,54.50412146870767,18.553664742381276
Centrum Sportowe u Jezuitów,,sports_centre,,54.51564113661741,18.525179378484776
Centrum Sportu Uniwersytetu Morskiego,,sports_centre,,54.525541153713974,18.50918904403045
,,track,,,
Przystań Widna 2A,community_centre,,,54.49848971415387,18.509188673566957
,,track,,54.55755698496924,18.504512452624045
Batyskaf Nautilus,,,attraction,54.51830580181054,18.55844589355282
,,track,,54.489537235858606,18.428511957594072
,,track,,54.48926360926354,18.428812372241183
,,track,,54.54168129862304,18.46624789216182
,,track,,54.50736259959231,18.546478112178075
Dwór Kolibki,,,attraction,54.473539185003276,18.556476227519457
